0.050 , 3.005 , 0.000 , 1.000 ,  green
0.100 , 3.021 , 0.000 , 1.000 ,  green
0.150 , 3.048 , 0.000 , 1.000 ,  green
0.200 , 3.088 , 0.000 , 1.000 ,  green
0.250 , 3.141 , 0.000 , 1.000 ,  green
0.300 , 3.207 , 0.000 , 1.000 ,  green
0.350 , 3.288 , 0.000 , 1.000 ,  green
0.400 , 3.384 , 0.000 , 1.000 ,  green
0.450 , 3.496 , 0.000 , 1.000 ,  green
0.500 , 3.625 , 0.000 , 1.000 ,  green
0.550 , 3.771 , 0.000 , 1.000 ,  green
0.600 , 3.936 , 0.000 , 1.000 ,  green
0.650 , 4.120 , 0.000 , 1.000 ,  green
0.700 , 4.323 , 0.000 , 1.000 ,  green
0.750 , 4.547 , 0.000 , 1.000 ,  green
0.800 , 4.792 , 0.000 , 1.000 ,  green
0.850 , 5.059 , 0.000 , 1.000 ,  green
0.900 , 5.349 , 0.000 , 1.000 ,  green
0.950 , 5.662 , 0.000 , 1.000 ,  green
1.000 , 6.000 , 0.000 , 1.000 ,  green
1.050 , 6.363 , 0.000 , 1.000 ,  green
1.100 , 6.751 , 0.000 , 1.000 ,  green
1.150 , 7.166 , 0.000 , 1.000 ,  green
1.200 , 7.608 , 0.000 , 1.000 ,  green
1.250 , 8.078 , 0.000 , 1.000 ,  green
1.300 , 8.577 , 0.000 , 1.000 ,  green
1.350 , 9.105 , 0.000 , 1.000 ,  green
1.400 , 9.664 , 0.000 , 1.000 ,  green
1.450 , 10.254 , 0.000 , 1.000 ,  green
1.500 , 10.875 , 0.000 , 1.000 ,  green
1.550 , 11.529 , 0.000 , 1.000 ,  green
1.600 , 12.216 , 0.000 , 1.000 ,  green
1.650 , 12.937 , 0.000 , 1.000 ,  green
1.700 , 13.693 , 0.000 , 1.000 ,  green
1.750 , 14.484 , 0.000 , 1.000 ,  green
1.800 , 15.312 , 0.000 , 1.000 ,  green
1.850 , 16.177 , 0.000 , 1.000 ,  green
1.900 , 17.079 , 0.000 , 1.000 ,  green
1.950 , 18.020 , 0.000 , 1.000 ,  green
2.000 , 19.000 , 0.000 , 1.000 ,  green
2.050 , 20.020 , 0.000 , 1.000 ,  green
2.100 , 21.081 , 0.000 , 1.000 ,  green
2.150 , 22.183 , 0.000 , 1.000 ,  green
2.200 , 23.328 , 0.000 , 1.000 ,  green
2.250 , 24.516 , 0.000 , 1.000 ,  green
2.300 , 25.747 , 0.000 , 1.000 ,  green
2.350 , 27.023 , 0.000 , 1.000 ,  green
2.400 , 28.344 , 0.000 , 1.000 ,  green
2.450 , 29.711 , 0.000 , 1.000 ,  green
2.500 , 31.125 , 0.000 , 1.000 ,  green
2.550 , 32.586 , 0.000 , 1.000 ,  green
2.600 , 34.096 , 0.000 , 1.000 ,  green
2.650 , 35.655 , 0.000 , 1.000 ,  green
2.700 , 37.263 , 0.000 , 1.000 ,  green
2.750 , 38.922 , 0.000 , 1.000 ,  green
2.800 , 40.632 , 0.000 , 1.000 ,  green
2.850 , 42.394 , 0.000 , 1.000 ,  green
2.900 , 44.209 , 0.000 , 1.000 ,  green
2.950 , 46.077 , 0.000 , 1.000 ,  green
3.000 , 48.000 , 0.000 , 1.000 ,  green
3.050 , 49.978 , 0.000 , 1.000 ,  green
3.100 , 52.011 , 0.000 , 1.000 ,  green
3.150 , 54.101 , 0.000 , 1.000 ,  green
3.200 , 56.248 , 0.000 , 1.000 ,  green
3.250 , 58.453 , 0.000 , 1.000 ,  green
3.300 , 60.717 , 0.000 , 1.000 ,  green
3.350 , 63.040 , 0.000 , 1.000 ,  green
3.400 , 65.424 , 0.000 , 1.000 ,  green
3.450 , 67.869 , 0.000 , 1.000 ,  green
3.500 , 70.375 , 0.000 , 1.000 ,  green
3.550 , 72.944 , 0.000 , 1.000 ,  green
3.600 , 75.576 , 0.000 , 1.000 ,  green
3.650 , 78.272 , 0.000 , 1.000 ,  green
3.700 , 81.033 , 0.000 , 1.000 ,  green
3.750 , 83.859 , 0.000 , 1.000 ,  green
3.800 , 86.752 , 0.000 , 1.000 ,  green
3.850 , 89.712 , 0.000 , 1.000 ,  green
3.900 , 92.739 , 0.000 , 1.000 ,  green
3.950 , 95.835 , 0.000 , 1.000 ,  green
4.000 , 99.000 , 0.000 , 1.000 ,  green
4.050 , 102.235 , 0.000 , 1.000 ,  green
4.100 , 105.541 , 0.000 , 1.000 ,  green
4.150 , 108.918 , 0.000 , 1.000 ,  green
4.200 , 112.368 , 0.000 , 1.000 ,  green
4.250 , 115.891 , 0.000 , 1.000 ,  green
4.300 , 119.487 , 0.000 , 1.000 ,  green
4.350 , 123.158 , 0.000 , 1.000 ,  green
4.400 , 126.904 , 0.000 , 1.000 ,  green
4.450 , 130.726 , 0.000 , 1.000 ,  green
4.500 , 134.625 , 0.000 , 1.000 ,  green
4.550 , 138.601 , 0.000 , 1.000 ,  green
4.600 , 142.656 , 0.000 , 1.000 ,  green
4.650 , 146.790 , 0.000 , 1.000 ,  green
4.700 , 151.003 , 0.000 , 1.000 ,  green
4.750 , 155.297 , 0.000 , 1.000 ,  green
4.800 , 159.672 , 0.000 , 1.000 ,  green
4.850 , 164.129 , 0.000 , 1.000 ,  green
4.900 , 168.669 , 0.000 , 1.000 ,  green
4.950 , 173.292 , 0.000 , 1.000 ,  green
